年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服裝打版專班(電腦組)(桃園),醫事護理及家事類,2015/11/9,2015/12/10,高中/職(含)以上,192,92.31%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電自動控制（桃園）,工業類,2015/9/15,2016/3/2,高中/職(含)以上,900,92.31%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務班,藝術類,2015/1/6,2015/6/26,專科(含)以上,900,92.31%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦數值控制機械(產訓合作專班)(台南),工業類,2015/4/22,2015/10/30,高中/職(含)以上,1072,92.31%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠生活與裝修工程實務,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,92.31%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,冷凍空調,工業類,2015/1/6,2015/4/10,國中(含)以上,450,92.31%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,綠色節能水電裝修實務,工業類,2012/7/5,2012/12/11,高中/職(含)以上,900,92.59%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,冷凍空調,工業類,2012/7/18,2013/6/28,高中/職(含)以上,1920,92.59%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,3D電腦輔助模具設計與製造,工業類,2012/7/18,2013/6/28,專科(含)以上,1920,92.59%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號(委託康林國際事業股份有限公司經營建築工場),移地訓練-室內設計實務,藝術類,2013/12/16,2014/3/14,高中/職(含)以上,456,92.59%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服飾創意實務,醫事護理及家事類,2013/7/11,2013/12/18,高中/職(含)以上,900,92.59%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,烘焙,商業類,2013/1/23,2013/6/28,高中/職(含)以上,840,92.59%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,創意商品網路行銷,工業類,2014/3/26,2014/8/29,高中/職(含)以上,888,92.59%
